,Time,Prediction
0,1604102400.0,9.937749999999998
1,1606694400.0,10.512749999999997
2,1609372800.0,10.887749999999997
3,1612051200.0,10.962749999999996
4,1614470400.0,10.887749999999997
5,1617148800.0,10.962749999999998
6,1619740800.0,10.362749999999997
7,1622419200.0,9.972749999999996
8,1625011200.0,9.887749999999997
9,1627689600.0,10.087749999999998
10,1630368000.0,10.012749999999999
11,1632960000.0,10.262749999999999
12,1635638400.0,10.479249999999997
13,1638230400.0,11.054249999999998
14,1640908800.0,11.429249999999998
15,1643587200.0,11.504249999999997
16,1646006400.0,11.429249999999998
17,1648684800.0,11.504249999999997
18,1651276800.0,10.904249999999998
19,1653955200.0,10.514249999999997
20,1656547200.0,10.429249999999998
21,1659225600.0,10.629249999999997
22,1661904000.0,10.554249999999998
23,1664496000.0,10.804249999999998
24,1667174400.0,11.020749999999998
25,1669766400.0,11.595749999999999
26,1672444800.0,11.970749999999999
27,1675123200.0,12.045749999999998
28,1677542400.0,11.970749999999999
29,1680220800.0,12.045749999999998
30,1682812800.0,11.445749999999997
31,1685491200.0,11.055749999999998
32,1688083200.0,10.970749999999999
33,1690761600.0,11.170749999999998
34,1693440000.0,11.095749999999999
35,1696032000.0,11.345749999999999
36,1698710400.0,11.562249999999999
37,1701302400.0,12.137249999999998
38,1703980800.0,12.512249999999998
39,1706659200.0,12.587249999999997
40,1709164800.0,12.512249999999998
41,1711843200.0,12.587249999999997
42,1714435200.0,11.987249999999998
43,1717113600.0,11.597249999999997
44,1719705600.0,11.512249999999998
45,1722384000.0,11.71225
46,1725062400.0,11.637249999999998
47,1727654400.0,11.887249999999998
48,1730332800.0,12.103749999999998
49,1732924800.0,12.678749999999997
50,1735603200.0,13.053749999999999
51,1738281600.0,13.128749999999998
52,1740700800.0,13.053749999999997
53,1743379200.0,13.128749999999998
54,1745971200.0,12.528749999999999
55,1748649600.0,12.138749999999998
56,1751241600.0,12.053749999999997
57,1753920000.0,12.253749999999998
58,1756598400.0,12.178749999999999
59,1759190400.0,12.428749999999999
60,1761868800.0,12.645249999999997
61,1764460800.0,13.220249999999998
62,1767139200.0,13.595249999999998
63,1769817600.0,13.670249999999998
64,1772236800.0,13.595249999999998
65,1774915200.0,13.67025
66,1777507200.0,13.070249999999998
67,1780185600.0,12.680249999999997
68,1782777600.0,12.595249999999998
69,1785456000.0,12.79525
70,1788134400.0,12.72025
71,1790726400.0,12.97025
72,1793404800.0,13.186749999999998
73,1795996800.0,13.76175
74,1798675200.0,14.13675
75,1801353600.0,14.211749999999999
76,1803772800.0,14.13675
77,1806451200.0,14.211749999999999
78,1809043200.0,13.611749999999999
79,1811721600.0,13.221749999999998
80,1814313600.0,13.13675
81,1816992000.0,13.336749999999999
82,1819670400.0,13.26175
83,1822262400.0,13.51175
84,1824940800.0,13.72825
85,1827532800.0,14.303249999999998
86,1830211200.0,14.678249999999998
87,1832889600.0,14.753249999999998
88,1835395200.0,14.678249999999998
89,1838073600.0,14.75325
90,1840665600.0,14.15325
91,1843344000.0,13.76325
92,1845936000.0,13.678249999999998
93,1848614400.0,13.878249999999998
94,1851292800.0,13.80325
95,1853884800.0,14.05325
96,1856563200.0,14.269749999999998
97,1859155200.0,14.84475
98,1861833600.0,15.21975
99,1864512000.0,15.294749999999999
100,1866931200.0,15.219749999999998
101,1869609600.0,15.29475
102,1872201600.0,14.694749999999999
103,1874880000.0,14.304749999999999
104,1877472000.0,14.21975
105,1880150400.0,14.41975
106,1882828800.0,14.344750000000001
107,1885420800.0,14.594750000000001
